channels_review
channel_id,channel_title,subscriber_count,channel_video_count,custom_url,videos_in_your_dataset,is_official_channel
UCQclRCNPd5YzP68OMs2ossg,Vishal Jadon,21200,13,@vish_jd,2,FALSE
UCHOKvQW2N4kLVhKYn2bvF7A,Prakhar Gupta,2780000,3145,@theprakharguptaxperience,2,FALSE
UCJxxKaNVBXUPxn5jHQizr2g,just ahsan,11,25,@officialahasan,1,FALSE
UCR4z8ccOWNoUThB4VAMNBTg,OUR STUPID REACTIONS,1440000,6515,@ourstupidreactions,1,FALSE
UCPs2i5H3ML_l5kCcxouYJUg,Taylortompodcast,1160,15,@taylortompodcast,3,FALSE
UCO8r03SgNVYSihTUb6r3qCg,Great Indian Comedy Central,984000,2247,@greatindiancomedycentral,4,TRUE
UCWdEI-adtq0qZIHCus4-6dQ,Pranav Sharma,1640000,50,@sharma.pranav,3,TRUE
UCKLdDch-_CWmK3OGuf_8qnQ,Cuộc Sống Miền Quê,9560,154,@cuocsongmienque6804,6,FALSE
UCNqA44cRILQDwm9MG0vV-Og,Rahul Dua,1210000,256,@therahuldua,1,TRUE
UCUg9Iv_KnZwTulS0cEi_mJQ,Comedy Time,482000,10537,@comedytimetv,1,TRUE
UCSKEdJnMTMn-zlC-XxOLU6g,Haseeb Khan,972000,148,@haseebkhanlive,1,TRUE
UCJ9hfZ2sU7jFT9isA2rN58Q,800 Pound Gorilla Media,671000,4399,@800pgm,5,FALSE
UCIPnPp27nvOVQmbmuz1ioyg,Devesh Dixit,481000,20,@deveshdixit2347,2,TRUE
UCX8puwySi2vmz0YxCqoYMCg,James Donald Forbes McCann,109000,236,@jamesdonaldforbesmccann,1,TRUE
UCWNjO4Fje4VwHFLRT5K2dEA,Comedy Network ,128,12,@comedic-genius,1,FALSE
UCJGj4L9QDJRrINmY1BAKYnA,ADMD Haste Raho TV,335000,519,@admdhasteraho,1,FALSE
UCQTmZczX5kGRgaPIgpy6CyQ,Max Amini,4650000,827,@maxamini,2,TRUE
UCU_j3IKa6DA-b7kvBLO4PDg,cakeorder,1660,65,@cakeorder,11,FALSE
UCV7yW1tSECOrWf6TbCbrUrA,Reuben Solo,47300,335,@reubensolo,1,FALSE
UCNTlWxQJRVub7XJu6AWN9uw,Vaibhav Arora,110000,45,@vaibhavaroramech,1,TRUE
UCG-cY3xD3S-oEkdM_5xHMxw,Vulture,66400,1053,@vulture,1,FALSE
UCKk1DfbCOBm_42PMyz7HqEA,Punchline,450000,1114,@punchline,1,TRUE
UCFIHoSOVPN8p3cGfc_6DqQQ,Gursimran Khamba,176000,182,@gursimrankhamba,1,TRUE
UCUQbSc1HywX9kFyFX3UP2VA,Daily Dose of Comedy & Twitch Clips,77800,1905,@dailydoseofcomedytwitchcli7743,1,FALSE
UCObk_g1hQBy0RKKriVX_zOQ,Netflix Is A Joke,4580000,4650,@netflixisajoke,3,TRUE
UCX8Itw-ebA_8-Yv4R0G_hlg,Punchline Powerhouse,5600,34,@punchlinepowerhouse,7,FALSE
UCXMPMNwW06gfqLTXKAjEtDw,Blockbuster Comedy Express,127000,678,@blockbustercomedyexpress,2,FALSE
UCNlKpfpNe_Lo2dyeRcWfq6w,Taylor Tomlinson Comedy ,2180,97,@taylortomlinsoncomedy-j5j,8,FALSE
UCQpGWzIG0vQVKGifv7XIAMQ,SML Movie Jeffy ,12400,69,@msaeee112,3,FALSE
UCKnZHF24IV9PT0cdSdHoWug,Anubhav Singh Bassi,5270000,8,@anubhavsinghbassi,3,TRUE
UCI8C5rWm0Sjjy5L_iW3lpJA,Hasnaat Khan,33000,2020,@hasnaatkhan,1,FALSE
UCGCIGHGbWAhJRQVQFD7CV-A,Comic Arvind,36500,77,@comicarvindsunder,1,FALSE
UCGVVGdMcWxF0KW4mCrmiNCQ,Joke WRLD,764000,2166,@jokewrld,1,FALSE
UCMTFtRCrHBJyuu4d4nXR01Q,PanDaddyPowa,51200,61,@pandaddypowa,1,FALSE
UCHPmi9rl0Ze8tsudMi09G4g,KS Comedy ,164,33,@kscomedy-vc1jw,1,FALSE
UCVUx0VcNxnHx7ZjuZK5Sthw,Letterman,960000,2549,@letterman,1,FALSE
UCOu4kfKyeuZ5IibuVByvhgQ,Sapan Verma,89900,157,@sapanv,1,TRUE
UCVWmcFDWz7evOe0Zbly3l8Q,Don Giller,256000,1555,@dongiller,1,FALSE
UCFhk_JAfHa_ONUwUNKDtl3A,KuchBhiMehta,622000,207,@kuchbhimehta,2,TRUE
UCGmhWgV9bmslB0Levatl6qA,Harsh gujral,2930000,43,@harshgujral,3,TRUE
UCJBprhMtYfZ1ftVw9IOmspA,Shashi Dhiman,677000,260,@shashidhiman,1,TRUE
UCTmTgWh2DeoblLw5AUz5U6A,Dark Comedy Cuts,382,36,@darkcomedycuts,1,FALSE
UCJVSs3f-sSMZcIV89Xs-R4A,Amit Tandon,1760000,379,@tandonamit,3,TRUE
UCmQCEVKEYpKxG8NwXnfIbCw,Jaspreet Singh,1880000,104,@jaspreetsinghcomedy,2,TRUE
UCkwqoXoJa1FiNqx0FUn30jQ,UPDATE YOURSELF,6310,388,@updateyourself00,1,FALSE
UCiIOZQNSjk2pnBSwau89pEA,Reactions By Suleman,839000,3405,@reactionsbysuleman,1,FALSE
UCdk8YjMK7CRrrNdkYb3UUFA,Pundank,113000,217,@pundankbro,1,TRUE
UC__1MDk4Tyu5P9vN-9tKiDg,Page,106000,96,@pagestandup,1,FALSE
UCeK0jhC7-Ot1bEaqvpr1Vaw,Cracked Comedy Club,74000,1199,@crackedcomedyclub,1,FALSE
UCneyi-aYq4VIBYIAQgWmk_w,Ranveer Allahbadia,11300000,8299,@ranveerallahbadia,2,FALSE
UCc35WvHmQjLE8NN4Y_ITmUQ,Trevor Wallace,6360000,1346,@trevorwallace,2,TRUE
UCZSNzBgFub_WWil6TOTYwAg,Netflix India,29300000,7213,@netflixindiaofficial,1,TRUE
UCcbhpngcGDw-LemvWaEaT0Q,Chalchitra Talks,410000,3026,@chalchitratalks,2,FALSE
UCf9BO33b-MnIxB5y0azrxmg,Jimmy Carr,2050000,3070,@jimmycarr,2,TRUE
UCbkeDlAoFQZASPS4Rd7v4kQ,Real Life Comedy Clips,1050,69,@reallifecomedyclips,2,FALSE
UCawXRnfJ0RB_vZtxecZeMvA,Pete Holmes,1130000,860,@peteholmes,1,TRUE
UCnLxFpGiCi-u3RLx9uF8bOg,Russell Howard,1500000,1612,@russellhoward,1,TRUE
UCllSh_d1Brc9PLypjhm1_YA,Swati Sachdeva,1170000,56,@swatisachdeva95,1,TRUE
UCjqTFB0CJPMjOTciQOcJAwg,Comedy By Copy,4250,3,@comedybycopy,1,FALSE
UCg1sJ_FeQo3rjCm61YQmkaw,Comedy Club,64500,5,@comedyclub_kab02,2,FALSE
UCk3C1TCvURojRaCte6jO9xw,bhartiyastandup,429,79,@bhartiyastandup,1,FALSE
UCahu7YZaFAHrw9H13a1QW_g,Lachlan Patterson,26300,100,@lachlanpattersontube,1,FALSE
UCkS7Vxu4PjM99w0Is6idjcg,Zakir Khan,8470000,236,@zakirkhan,3,TRUE
UCZIv78thfup6-JB5HxqT3Pg,Universal Comedy,599000,928,@funniestevercomedy,1,TRUE
UCeP5_FL11TnvXuvrFvALJyA,Gaurav Kapoor,1700000,218,@gauravkapoor,2,TRUE
UCifnxf6RnT0bUzE6BP3WRKw,VIRAL KHABAR ,41,45,@viral_khabar_01,1,FALSE
UCYyY8SIvdjeNr7wtZZ-0q7Q,Hasya Vibhag,178,8,@hasyavibhagg,2,FALSE
UCaUr7y4F9lWGnZ0cbUZyzYA,Aashish Solanki,1620000,497,@ashishsolanki_1,4,TRUE
UC_OhA5PSamBYGFGf1wOSKsQ,Thynk,305000,113,@thynkwhy,1,FALSE
UCmnRK14QGsK4fUz_aHEoB4A,Kaustubh Agarwal,217000,108,@comickaustubhagarwal,1,TRUE
UCj9rM6F12OMfdQfE4CoR92w,Zindagi with Richa,1520000,2033,@zindagiwithricha,2,FALSE
UCk2hNddcrBOJ_vwlFohhP-Q,Laugh Society,1070000,2494,@officiallaughsociety,1,TRUE
UC__heCdi81TNwSXQKgc3AiQ,Hustlesehasil,10,71,@standupmasala28,1,FALSE
UClJc-8Isx8-vD8tMZkGGDpg,Madhur Virli - RAW,300000,55,@madhurvirliraw,1,TRUE
UCbNZ9n6fyv_Y7Kxi2BIM5Uw,Chappelle's Show 2026,5250,152,@chappelleshow2026,4,FALSE
UCbw7SgLczbBOV9K0CW58gcQ,Mr.singh.3301,157,13,@mr.singh.3301,1,FALSE
UCf5jQ69wmmjojV8WtYw2EQw,Chris D'Elia,342000,885,@chrisdeliaofficial,3,TRUE
UCai38RWi7uTuT3oJuSMFufw,Vidit Sharma,503000,189,@viditsharmaaa,1,TRUE
UCcsdfVEUmNyR4dGZ24uENDg,BEATS 28 Official,201,7,@beats28official74,1,FALSE
UChD-tw6sCZk9C_Di3pB7jAA,Tuple Jr,68300,962,@tuplejr26,1,FALSE
UCh1nI2KoL8snz4LfAuZqj7Q,Manhar Seth,580000,138,@manharsethofficial,1,TRUE
UCnHcXyiovC7jLLPddc4Ezkw,Shubham Pujari,98500,89,@notsopujari1,2,TRUE
UCmphmwYd7MvMecLzYzglQ-A,Shamik Chakrabarti,109000,111,@shamikchakrabarti,1,TRUE
UCjMvBsQyKu8gvY2fenu2Aew,Yuvaa,501000,1620,@weareyuvaa,1,FALSE
UCabA1vTfUdhKj6Lcnvpu1vw,Comedy Video,107000,678,@comedyvideo1-o6k,1,FALSE
UCfvTya0CoGzK4SfL90wcDdg,RISHI MUNI,40900,638,@rishimuni23,2,FALSE
UCdFGdIh0CZa_oF8MJAowsEw,Akaash Singh,2180000,682,@akaashsinghcomedy,3,TRUE
UCeudZuDYinOWlWk69fTZCTg,Learn By KK Create,434000,166,@learnbykk.create,1,FALSE
UC_yOmsM3H9shTpLLiQ62FuQ,Haste Raho Bhaiya,838000,652,@officialhasterahobhaiya,1,FALSE
UCaiFduMjCfB7ILzL59nrHrw,Naman Jain,128000,92,@bhalamanushya,2,TRUE
UC_yVJyx7hIbUmunNAZobd4Q,The S2 Life,540000,1268,@thes2life,5,FALSE
UCX_iv7NULECPXfKztYx_3Ng,Laksh maheshwari,1180000,383,@single.handedly,1,TRUE
UCaX90_LEc6LkQwwfDMvfoBg,Bass Drop Studio,1750,188,@bass_drop_studio,1,FALSE
UCxNQWe21hv-iE9x5tRofsDA,J.,13800,34,@jfgvk,1,FALSE
UCzQUP1qoWDoEbmsQxvdjxgQ,PowerfulJRE,21100000,3635,@joerogan,1,FALSE
UCvlVuntLjdURVD3b3Hx7kxw,Dry Bar Comedy,3080000,4056,@drybarcomedy,3,TRUE
UCwcWXGbmuFDwszMjhFFCjrg,Spicy Buzz,2090,130,@spicybuzz,1,FALSE
UCtw7q4SyOeoCwM1i_3x8lDg,Comedy Central Stand-Up,2820000,2297,@standup,4,TRUE
UCtWoDeegvTPfuuNm_ilJntg,Son Of Abish,1080000,434,@sonofabish,2,TRUE
UCq05lmT36q5mBrYm_BJWtyA,Baffour Anim,1440,179,@ba4x,1,FALSE
UCs0vG_VEATZYn0icG4X8cRg,UniversalUplift,2460,31,@universaluplift.,2,FALSE
UCv4BtTHeqclK5jWEnnGjT2Q,800 Pound Gorilla Comedy Slices,105000,1046,@800pgmslices,1,FALSE
UCrxLfAJy4cbNk-Yo_7aCduQ,Gaurav Kapoor Vlogs,432000,465,@gauravkapoorvlogs,1,FALSE
UCpeRzRS1b1NvY4og1huE7jw,Dostcast,1300000,1487,@dostcast,1,FALSE
UCzT95-0CwvMYbSPUKCeheag,Chappelle Stand Up,23,8,@chappellestandup,1,FALSE
UCx8Z14PpntdaxCt2hakbQLQ,The Lallantop,35000000,87696,@thelallantop,3,FALSE
UCw7xjxzbMwgBSmbeYwqYRMg,Sony PAL,47300000,35971,@sonypal,1,FALSE
UCoKWLPZ2N5SuO54r_SFwpAw,education centre ,7080,144,@educationcentre8365,1,FALSE
UCxY70x2COyMICgCfEwgVcJg,Gilly and Keeves,1120000,35,@gillyandkeeves,1,TRUE
UCyGR5vfdIzNj6VRY13nzO-g,Ravi Gupta,2110000,10,@raviguptacomedy,1,TRUE
UCryPj6Vd6C-5GpDFAQHbbTQ,Chart master,7340,1,@chartmaster-v,1,FALSE
UCveLYYTzy3rQinrC1WzA2hg,Thakur Shahab,2060,268,@imvikaskt,1,FALSE
UCpcC5i8aizRqvn3WkVLHMFg,Khan Talks,1170,6,@khantalkss,2,FALSE
UCvysYHHt5MXH8cVAUGG60sA,Pathan Sameer Official,1700,35,@pathansameerofficial,1,FALSE
UCwV_A5L1hhEVfld6Wbxn3jg,CineDesi,2490000,6732,@cinedesi,9,TRUE
UCz7AfJ3PgwlVDx6vnq1ffTQ,The Testing Acadmy ,180,20,@engineer_lifestyle-c4i,1,FALSE
UCnlRZzJ_mXXEoGyPzJxqoeg,Adam Papworth,4620,9241,@adampapworth,1,FALSE
UCvgMH5bd8JU_3KZ0BnBL4Vg,Rahul Subramanian,99100,67,@rahulsubramanian,1,TRUE
UCx4Vg6a4tR6c1Qn6eJpJzJQ,روتيناتي في بيت الكراء ,2990,93,@روتيناتي_في_بيت_الكراء,6,FALSE
UCu1aSs2qmjySrt_HkEmblvQ,The Comedy Factory,1080000,705,@thecomedyfactory,1,TRUE
UCswF7Gmmo9agyFZeFMiPeqA,TARIK KOUTARI,1770,60,@tarikkoutari3229,1,FALSE
UCrTeGn3Y00itEFtr0WbJWVw,solo x is live,1430,781,@soloxislive,1,FALSE
UCx1Fxl7pFuccFkcOA4mSfZA,India's Got Latent Clips,816000,609,@indiasgotlatentofficial,4,TRUE
UCo7R3jjfEMUJOeH9JvBQV7Q,Laugh Up Club,190000,111,@laughupclub,2,TRUE
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,190000000,174471,@setindia,5,FALSE
UCwjWUUCiv_TPoErI9AZv6Lg,BEYONDLOCALGODDESSES,347000,4836,@beyondlocalgoddesses,1,FALSE
UCsv4YOF2RBYh0NQ1vuHQ-hg,Comedy Central UK,2470000,13228,@comedycentraluk,1,TRUE
UCstjsMVvSsV_kT0rworEidA,Nate Jackson,852000,1460,@natejackson,2,TRUE
UCxbFWT2YWDQxGkpnWmJsJuw,ARG Cinema,1,34,@argcinema,1,FALSE
UCzNq9i-DlDDBLjPerVzJW-A,Kenny Sebastian,2260000,426,@kennysebastian,1,TRUE
UCzwCEE_PchiBULMnAJqhGVg,Raj Shamani,18600000,2523,@rajshamani,2,FALSE
UCnndJYBNq9R6oKzzMNnmQOQ,SunRayBee Live,65100,372,@sunraybeelive,1,FALSE
UCpjTx5WsF4yqyvGIYY8nuVg,Vidit Gujrathi,297000,383,@viditchess,1,TRUE
UCw3G3ZzKZJPxi02tix2sZvA,Chappelle’s Comedy Corner,7190,68,@chappellescomedycorner,1,FALSE
