video_id,comedian_name,title,content_type,view_count,like_count,duration_seconds,published_at,thumbnail_url,is_duplicate
HAqVEM6DzvU,Chirag Panjwani,Meri Pehli Shaadi | Stand Up Comedy Special by Chirag Panjwani,full_special,1818931,62539,4359,2024-11-15T07:38:57Z,https://i.ytimg.com/vi/HAqVEM6DzvU/hqdefault.jpg,false
TSi5zOfEaQE,Chris D'Elia,Chris D'Elia: Grow Or Die (STANDUP COMEDY SPECIAL),full_special,1128319,29258,4174,2025-03-31T16:00:36Z,https://i.ytimg.com/vi/TSi5zOfEaQE/hqdefault.jpg,false
ts5FalYIzMw,Comedy Central Stand-Up,Anthony Jeselnik: Caligula - Full Special,full_special,3067001,43079,2517,2024-04-29T01:00:07Z,https://i.ytimg.com/vi/ts5FalYIzMw/hqdefault.jpg,false
5S5iZZEtTkg,Comedy Central Stand-Up,John Mulaney: New in Town - Full Special,full_special,2898845,53072,2523,2024-05-27T01:00:04Z,https://i.ytimg.com/vi/5S5iZZEtTkg/hqdefault.jpg,false
9D1_TnXvtWY,Comedy Central UK,Best Ever Chappelle's Show Moments | Chappelle's Show,compilation,4215618,29771,1574,2026-02-08T20:00:07Z,https://i.ytimg.com/vi/9D1_TnXvtWY/hqdefault.jpg,false
s-ONlhskCrA,Dave Chappelle,Dave Chappelle Full Stand Up || Deep In The Heart Of Texas,full_special,6702791,82954,3646,2022-03-29T23:34:37Z,https://i.ytimg.com/vi/s-ONlhskCrA/hqdefault.jpg,false
pvc_XDDrwgc,Dave Chappelle,Dave Chappelle Full Stand Up ☆ || Equa•nimity ||☆ Everything I Say Upsets Somebody,full_special,6373736,91161,3349,2022-02-04T04:52:03Z,https://i.ytimg.com/vi/pvc_XDDrwgc/hqdefault.jpg,false
e44hXvuy3OA,Comedy Dynamics,Over an Hour of 420 Jokes - Stand-Up Comedy from Comedy Dynamics,full_special,2513675,18647,3667,2024-04-20T17:00:23Z,https://i.ytimg.com/vi/e44hXvuy3OA/hqdefault.jpg,false
QI5GiTnmltM,Comedy Dynamics,Best of Dan Cummins: Get Outta Here; Devil - Stand-Up Comedy,compilation,856394,16076,1787,2025-05-25T17:30:04Z,https://i.ytimg.com/vi/QI5GiTnmltM/hqdefault.jpg,false
k6WNXMLTB5o,Cracked Comedy Club,60 Jokes That Are Pure Comedy Gold in 60 Minutes | Full Standup Comedy Compilation,compilation,774503,5651,3310,2025-08-22T01:00:06Z,https://i.ytimg.com/vi/k6WNXMLTB5o/hqdefault.jpg,false
XOZ4gEMnOks,Dave Chappelle,"Dave Chappelle in Texas. one of the best story tellers to ever live. March 21, 2017",full_special,670228,5713,3737,2025-12-12T18:25:23Z,https://i.ytimg.com/vi/XOZ4gEMnOks/hqdefault.jpg,false
5is7HU9-Svc,Dave Chappelle,8 of Dave Chappelle Funniest Jokes Ever,full_special,4857604,43408,1884,2022-01-19T12:49:38Z,https://i.ytimg.com/vi/5is7HU9-Svc/hqdefault.jpg,false
far4bOQE69E,Devesh Dixit,LOVERBOY- Stand up Comedy by Devesh Dixit,full_special,1724125,51780,2332,2026-04-15T13:34:24Z,https://i.ytimg.com/vi/far4bOQE69E/hqdefault.jpg,false
QpD7BYULwpY,Dave Chappelle,"Dave Chappelle Collection on Letterman, 1994-2014",full_special,5519408,44899,4107,2020-10-29T05:31:49Z,https://i.ytimg.com/vi/QpD7BYULwpY/hqdefault.jpg,false
ku5BobRq0to,Samay Raina,Samay Raina | Dostcast w/ Vinamre Kasanaa,full_special,1867440,40885,3834,2026-04-17T14:30:40Z,https://i.ytimg.com/vi/ku5BobRq0to/hqdefault.jpg,false
K-ZwTpeBLzo,Dry Bar Comedy,I have No Patience For Stupid People. Mike James - Full Special,full_special,4233036,81254,1561,2023-12-26T00:45:00Z,https://i.ytimg.com/vi/K-ZwTpeBLzo/hqdefault.jpg,false
ibVwBUNjgOE,Dry Bar Comedy,This Might Be The Best Comedy Special Ever. John Novosad - Full Special,full_special,3732170,51214,1541,2024-12-25T00:45:03Z,https://i.ytimg.com/vi/ibVwBUNjgOE/hqdefault.jpg,false
JHbgA38R1OM,Gary Owen,Gary Owen: No Hard Feelings (2026) |  FULL SPECIAL,full_special,3889985,96129,3438,2026-03-07T22:00:07Z,https://i.ytimg.com/vi/JHbgA38R1OM/hqdefault.jpg,false
R7bVMWGpKOI,Gary Owen,Gary Owen: Off The Dome Houston | Crowd Work Compilation,compilation,2479925,33057,1847,2025-05-01T13:00:49Z,https://i.ytimg.com/vi/R7bVMWGpKOI/hqdefault.jpg,false
g3oNp6KQZJg,Gaurav Kapoor,LIE HARD Ep. 2 ft @AnubhavSinghBassi @gauravgupta6685 @ComicKaustubhAgarwal @boi_onkar,full_special,3125561,63733,4795,2025-06-06T06:51:02Z,https://i.ytimg.com/vi/g3oNp6KQZJg/hqdefault.jpg,false
EJzZ3ftkyt0,Gaurav Kapoor,LIE HARD Ep. 5 ft @AakashGupta @KennySebastian @TheRahulDua @ShreejaChaturvedi,full_special,2594038,53817,6270,2025-07-25T03:07:18Z,https://i.ytimg.com/vi/EJzZ3ftkyt0/hqdefault.jpg,false
sB9eWtzTOq0,Gianmarco Soresi,Gianmarco Soresi: Thief of Joy | Full Comedy Special,full_special,5278565,231650,3980,2025-09-19T23:00:07Z,https://i.ytimg.com/vi/sB9eWtzTOq0/hqdefault.jpg,false
zKUpf1Vx0vs,Gilly and Keeves,Shane Gillis Live In Austin | Stand Up Comedy,full_special,56324138,681813,2885,2021-09-07T14:00:22Z,https://i.ytimg.com/vi/zKUpf1Vx0vs/hqdefault.jpg,false
QngJL3TlUh4,Zakir Khan,No Bakwas Only Full on Comedy.| ZAKIR KHAN | BHUVAN BAM | ANUBHAV SINGH BASSI | HARSH GUJRAL | TKSS.,full_special,7758383,62471,2548,2025-06-11T11:45:04Z,https://i.ytimg.com/vi/QngJL3TlUh4/hqdefault.jpg,false
x5cWXEsSsD0,Gursimran Khamba,Nation Wants To Guess with Khamba | EP7 ft @AnubhavSinghBassi @AakashGupta @ShreejaChaturvedi,full_special,4581873,98389,4449,2026-02-08T06:30:06Z,https://i.ytimg.com/vi/x5cWXEsSsD0/hqdefault.jpg,false
MwsHgn_jdIY,Harsh gujral,22 Boyfriends | Crowd Work | Stand Up Comedy | Ft @Harshgujral,crowd_work_clip,11427864,246304,1227,2025-04-30T12:04:05Z,https://i.ytimg.com/vi/MwsHgn_jdIY/hqdefault.jpg,false
4Z-KLkjICoY,Harsh Gujral,Desi Boyfriend - A Standup Comedy Special By Harsh Gujral,full_special,7828172,180660,2736,2026-02-06T12:00:06Z,https://i.ytimg.com/vi/4Z-KLkjICoY/hqdefault.jpg,false
_97GyWAiJPk,Haseeb Khan,Haseeb Khan | FLAMES | STANDUP COMEDY SPECIAL,full_special,5358519,165802,3332,2025-08-14T10:30:22Z,https://i.ytimg.com/vi/_97GyWAiJPk/hqdefault.jpg,false
F8mX7rh3Kq0,Inder Sahani,Types Of Travellers Standup Comedy By Inder Sahani,full_special,2123693,52923,2372,2025-02-17T13:45:01Z,https://i.ytimg.com/vi/F8mX7rh3Kq0/hqdefault.jpg,false
5j18OH3b6wI,Inder Sahani,Sorry Papa | Standup Comedy Special By Inder Sahani,full_special,1947121,65009,4994,2026-06-12T12:45:31Z,https://i.ytimg.com/vi/5j18OH3b6wI/hqdefault.jpg,false
WduM5-nT200,Inder Sahani,Tapu Sena Babur aur Aananya | Standup comedy By Inder Sahani,full_special,1748491,36619,2305,2026-05-06T13:45:22Z,https://i.ytimg.com/vi/WduM5-nT200/hqdefault.jpg,false
98H7NpD_IeM,Inder Sahani,Scam 2040 | Standup comedy by Inder Sahani,full_special,1064098,29203,2135,2026-07-28T12:45:32Z,https://i.ytimg.com/vi/98H7NpD_IeM/hqdefault.jpg,false
U6MIV_0fmc4,Inder Sahani,"Shanky, Kundi Aur Thailand | Standup Comedy By Inder Sahani",full_special,996137,25742,2272,2026-01-07T13:45:07Z,https://i.ytimg.com/vi/U6MIV_0fmc4/hqdefault.jpg,false
fH_Lw-Xq_6Y,India's Got Latent Clips,BEST MOMENTS OF LATENT FROM 2024 | India's Got Latent,compilation,8917999,156637,2262,2025-01-01T12:27:14Z,https://i.ytimg.com/vi/fH_Lw-Xq_6Y/hqdefault.jpg,false
zTxkGUG4TVI,India's Got Latent Clips,BEST ONE LINERS AT LATENT (Part 1) | India's Got Latent,full_special,6371714,101277,1622,2025-01-15T13:30:43Z,https://i.ytimg.com/vi/zTxkGUG4TVI/hqdefault.jpg,false
dom3czIxbtY,India's Got Latent Clips,BEST OF PARENTS AT LATENT | India's Got Latent,compilation,2720097,43697,1551,2025-07-07T17:14:53Z,https://i.ytimg.com/vi/dom3czIxbtY/hqdefault.jpg,false
jM_BQYeiD5Y,Dave Chappelle,Dave Chappelle For What Its Worth,full_special,6350548,46040,3459,2018-02-14T16:07:42Z,https://i.ytimg.com/vi/jM_BQYeiD5Y/hqdefault.jpg,false
BTz1r0jzl0M,Jaspreet Singh,GROWN UP | Standup Comedy Special by Jaspreet Singh,full_special,6492391,242188,4374,2026-04-03T12:28:23Z,https://i.ytimg.com/vi/BTz1r0jzl0M/hqdefault.jpg,false
oiSTUw1iaWc,Jimmy Carr,Humiliating American Hecklers | Jimmy Carr Crowd Work,crowd_work_clip,3355575,47553,4999,2025-07-04T16:01:39Z,https://i.ytimg.com/vi/oiSTUw1iaWc/hqdefault.jpg,false
cL_DuIwl_ik,Jimmy Carr,Jimmy Carr's Darkest Material UNCUT | Jimmy Carr,full_special,1071724,10721,3570,2024-06-23T15:00:35Z,https://i.ytimg.com/vi/cL_DuIwl_ik/hqdefault.jpg,false
lupX9szykio,Joke WRLD,The Ultimate Crowd Work Compilation,compilation,1626058,16373,1878,2023-05-20T16:21:42Z,https://i.ytimg.com/vi/lupX9szykio/hqdefault.jpg,false
RjBoz1nfYqw,KBC India,New Season | KBC S17 | Ep. 70 | Full Episode | Big B अपनी हँसी रोक न पाए इन comedians की मस्ती पर!,full_special,3389471,33883,4371,2025-11-17T15:30:23Z,https://i.ytimg.com/vi/RjBoz1nfYqw/hqdefault.jpg,false
eHMyxD0kAFM,Kaustubh Agarwal,Banger Issues | Stand Up Comedy | Kaustubh Agarwal,full_special,2024636,76915,2621,2026-02-21T14:45:38Z,https://i.ytimg.com/vi/eHMyxD0kAFM/hqdefault.jpg,false
J9BeQAJmx3g,Kaviraj Singh,ARE WOMEN BECOMING MEN? | FULL COMEDY SPECIAL | KAVIRAJ SINGH,full_special,5929088,192510,2455,2025-04-04T04:20:07Z,https://i.ytimg.com/vi/J9BeQAJmx3g/hqdefault.jpg,false
T6iS3P6_rbo,Kaviraj Singh,WOMEN ENCORE | A STAND-UP COMEDY SPECIAL | KAVIRAJ | WOMEN PART II,full_special,2977755,145627,3043,2026-04-17T11:15:07Z,https://i.ytimg.com/vi/T6iS3P6_rbo/hqdefault.jpg,false
Bgpji_zyHPE,Kenny Sebastian,"SimpleKen - Two Types of People Ep1 with @AakashGupta  ,@ShreejaChaturvedi &@shamikchakrabarti",full_special,541167,11800,3724,2024-04-22T04:30:08Z,https://i.ytimg.com/vi/Bgpji_zyHPE/hqdefault.jpg,false
YrkHZyQtKes,KuchBhiMehta,No Smoking | FULL Stand up Comedy Special by Aakash Mehta,full_special,1792298,54411,3700,2023-03-01T16:00:08Z,https://i.ytimg.com/vi/YrkHZyQtKes/hqdefault.jpg,false
pqnhlrlrfmw,KuchBhiMehta,NASTY | FULL Stand up Comedy Special by Aakash Mehta w/Subs in 10 languages!,full_special,830389,27118,4538,2023-07-07T15:30:13Z,https://i.ytimg.com/vi/pqnhlrlrfmw/hqdefault.jpg,false
