comedian_name,video_id,title,view_count,like_count,duration_seconds,published_at,thumbnail_url
"Amit Tandon",Tkebl7-vO2c,"Sibling Stories with Zakir & Bassi | Chaar Yaar Ep. 5| ft. @ZakirKhan @AnubhavSinghBassi",1721687,35243,4475,2024-11-07T13:30:07Z,https://i.ytimg.com/vi/Tkebl7-vO2c/hqdefault.jpg
"Amit Tandon",lLRr_4DK9jk,"School Ke Din | Chaar Yaar with Amit Tandon Ep.15 ft Zakir Khan and Anubhav Singh Bassi",1461563,26586,4338,2025-01-30T12:30:07Z,https://i.ytimg.com/vi/lLRr_4DK9jk/hqdefault.jpg
"Amit Tandon",DQePNw_WZQ4,"Hamare Zamane Mein - A Stand Up Comedy Special by Amit Tandon",672269,11164,6233,2026-08-07T11:30:06Z,https://i.ytimg.com/vi/DQePNw_WZQ4/hqdefault.jpg
"Anubhav Singh Bassi",qkxuFKqJXWY,"Roommate - Stand Up Comedy Ft. Anubhav Singh Bassi",96234285,3166720,1365,2021-04-15T18:31:51Z,https://i.ytimg.com/vi/qkxuFKqJXWY/hqdefault.jpg
"Anubhav Singh Bassi",IEfBBYmxtIo,"UPSC - Stand Up Comedy Ft. Anubhav Singh Bassi",79504716,2374787,2246,2023-07-15T09:30:08Z,https://i.ytimg.com/vi/IEfBBYmxtIo/hqdefault.jpg
"Anubhav Singh Bassi",mbOO0Z6ryO0,"Ambulance - Stand Up Comedy Ft. Anubhav Singh Bassi",19674403,567105,1202,2025-10-19T14:10:59Z,https://i.ytimg.com/vi/mbOO0Z6ryO0/hqdefault.jpg
"BEATS 28 Official",doNOhHEEsRk,"Best of Anubhav Singh Bassi | Hostel | Waxing | Cheating | Anubhav Singh Bassi  Stand Up Comedy",22284,209,2262,2020-06-30T16:18:32Z,https://i.ytimg.com/vi/doNOhHEEsRk/hqdefault.jpg
BEYONDLOCALGODDESSES,qBf6RrN5eVE,"Aakash Gupta | Angry Young Man | Full Stand-up Comedy Special",8739,284,2883,2025-03-08T13:31:31Z,https://i.ytimg.com/vi/qBf6RrN5eVE/hqdefault.jpg
"BHARTI TV",GIDAWNQzblw,"Unlocking Success: @ZakirKhan 's Journey from OpenMic to Stardom",3120866,65435,2975,2024-01-15T14:45:11Z,https://i.ytimg.com/vi/GIDAWNQzblw/hqdefault.jpg
"Baffour Anim",aLwSHqVOOK4,"Dave Chappelle’s ‘The Unstoppable’ – Full Standup Breakdown & Best Moments!",181236,2085,3687,2025-12-26T02:07:20Z,https://i.ytimg.com/vi/aLwSHqVOOK4/hqdefault.jpg
"Bass Drop Studio",FMMbB9CdOGw,"Samay Raina - STILL ALIVE (Full Special)",188481,3621,4861,2026-04-10T08:24:47Z,https://i.ytimg.com/vi/FMMbB9CdOGw/hqdefault.jpg
"Best of Dave Chappelle",pe8o3DtsfFA,"Dave Chappelle Full Stand Up | Deep In The Heart Of Texas",7825,53,12488,2025-11-10T02:40:26Z,https://i.ytimg.com/vi/pe8o3DtsfFA/hqdefault.jpg
"Blockbuster Comedy Express",ZVqSvoEmHuM,"Shayari वाली Class, Laughter के साथ!| Zakir Khan | Kapil Sharma | Best of The Kapil Sharma Show.",4714,27,2475,2025-08-08T13:30:40Z,https://i.ytimg.com/vi/ZVqSvoEmHuM/hqdefault.jpg
"Blockbuster Comedy Express",iqsoORz6s0A,"The OG Sakht Launda Zakir Khan की Shayari की Class.| The Kapil Sharma Show",1068,5,2473,2026-07-30T11:30:35Z,https://i.ytimg.com/vi/iqsoORz6s0A/hqdefault.jpg
"Chalchitra Talks",rPH5RUdaEMQ,"Samay Raina | India's Got Latent S2, Standup Comedy, Kapil Sharma | The Longest Interview",5493880,129117,7200,2026-04-14T13:30:06Z,https://i.ytimg.com/vi/rPH5RUdaEMQ/hqdefault.jpg
