comedian_name,video_id,title,view_count,like_count,duration_seconds,published_at,thumbnail_url
"Chris D'Elia",c_DPkzeMn1Q,"FULL SET - CROWDWORK IN HOUSTON - Chris D'Elia Stand Up Comedy",191847,3629,2160,2025-09-02T13:30:42Z,https://i.ytimg.com/vi/c_DPkzeMn1Q/hqdefault.jpg
CineDesi,QccCmgU1O1Q,"ABHISHEK UPMANYU | Friends, Crime & The Cosmos | Stand Up Comedy | Reaction | Jaby Koay",2428072,66026,1570,2020-06-05T13:00:22Z,https://i.ytimg.com/vi/QccCmgU1O1Q/hqdefault.jpg
CineDesi,buwMAHwhB7I,"HOSTEL | Anubhav Singh Bassi | Stand Up Comedy Reaction | Jaby Koay",2418712,61281,1539,2020-03-31T04:30:02Z,https://i.ytimg.com/vi/buwMAHwhB7I/hqdefault.jpg
CineDesi,NYdYI4U-igI,"ABHISHEK UPMANYU | HEALTH ANXIETY - Stand Up Comedy REACTION!",2046202,46541,2262,2023-05-18T05:00:08Z,https://i.ytimg.com/vi/NYdYI4U-igI/hqdefault.jpg
CineDesi,pY4j__UjTd8,"Samay Raina - STILL ALIVE Stand Up Reaction!",1671012,47831,6740,2026-04-28T07:08:57Z,https://i.ytimg.com/vi/pY4j__UjTd8/hqdefault.jpg
CineDesi,AmqXsWRHx1w,"AAKASH GUPTA | My First Euro Trip | Stand Up Comedy Reaction!",1623278,35997,1448,2024-02-13T06:00:07Z,https://i.ytimg.com/vi/AmqXsWRHx1w/hqdefault.jpg
CineDesi,YbvJ8ZPHT6w,"ABHISHEK UPMANYU | Tongue Issues - Stand Up Comedy REACTION!",1454855,42059,1214,2023-02-28T06:00:18Z,https://i.ytimg.com/vi/YbvJ8ZPHT6w/hqdefault.jpg
CineDesi,YnViX2Lgi70,"ZAKIR KHAN | CLASS  Stand Up Comedy Reaction!",862253,19763,2261,2025-01-13T10:30:28Z,https://i.ytimg.com/vi/YnViX2Lgi70/hqdefault.jpg
CineDesi,zyDmS4FXSQE,"AAKASH GUPTA | Childhood Dreams - Reaction! | Stand-Up Comedy | Crowdwork",813673,26413,1432,2022-02-03T07:30:06Z,https://i.ytimg.com/vi/zyDmS4FXSQE/hqdefault.jpg
CineDesi,dxpRy64WtY0,"AKAASH SINGH - GASLIT Reaction! | Stand-Up Special",547834,12647,5617,2024-04-17T07:00:17Z,https://i.ytimg.com/vi/dxpRy64WtY0/hqdefault.jpg
"Comedy Central Stand-Up",ts5FalYIzMw,"Anthony Jeselnik: Caligula - Full Special",3067001,43079,2517,2024-04-29T01:00:07Z,https://i.ytimg.com/vi/ts5FalYIzMw/hqdefault.jpg
"Comedy Central Stand-Up",5S5iZZEtTkg,"John Mulaney: New in Town - Full Special",2898845,53072,2523,2024-05-27T01:00:04Z,https://i.ytimg.com/vi/5S5iZZEtTkg/hqdefault.jpg
"Comedy Central Stand-Up",BUI0sGnx9Us,"“The Grinch That Stole Everything”- Theo Von - Full Special",1603615,22301,1260,2024-05-31T16:00:16Z,https://i.ytimg.com/vi/BUI0sGnx9Us/hqdefault.jpg
"Comedy Central UK",9D1_TnXvtWY,"Best Ever Chappelle's Show Moments | Chappelle's Show",4215618,29771,1574,2026-02-08T20:00:07Z,https://i.ytimg.com/vi/9D1_TnXvtWY/hqdefault.jpg
"Comedy Dynamics",e44hXvuy3OA,"Over an Hour of 420 Jokes - Stand-Up Comedy from Comedy Dynamics",2513675,18647,3667,2024-04-20T17:00:23Z,https://i.ytimg.com/vi/e44hXvuy3OA/hqdefault.jpg
"Comedy Dynamics",QI5GiTnmltM,"Best of Dan Cummins: Get Outta Here; Devil - Stand-Up Comedy",856394,16076,1787,2025-05-25T17:30:04Z,https://i.ytimg.com/vi/QI5GiTnmltM/hqdefault.jpg
"Devesh Dixit",far4bOQE69E,"LOVERBOY- Stand up Comedy by Devesh Dixit",1724125,51780,2332,2026-04-15T13:34:24Z,https://i.ytimg.com/vi/far4bOQE69E/hqdefault.jpg
"Devesh Dixit",PMWMprq0oJc,"Cult Games- Ep1 ft @aupmanyu @KaruneshTalwar @siddharthdudeja",183503,5802,2527,2026-07-31T11:47:54Z,https://i.ytimg.com/vi/PMWMprq0oJc/hqdefault.jpg
"Dry Bar Comedy",K-ZwTpeBLzo,"I have No Patience For Stupid People. Mike James - Full Special",4233036,81254,1561,2023-12-26T00:45:00Z,https://i.ytimg.com/vi/K-ZwTpeBLzo/hqdefault.jpg
"Dry Bar Comedy",ibVwBUNjgOE,"This Might Be The Best Comedy Special Ever. John Novosad - Full Special",3732170,51214,1541,2024-12-25T00:45:03Z,https://i.ytimg.com/vi/ibVwBUNjgOE/hqdefault.jpg
"Dry Bar Comedy",rsGt7wkETK4,"Get Ready To Be Offended. K-von - Full Special",1110599,31756,1267,2024-12-21T00:45:06Z,https://i.ytimg.com/vi/rsGt7wkETK4/hqdefault.jpg
"Gary Owen",JHbgA38R1OM,"Gary Owen: No Hard Feelings (2026) |  FULL SPECIAL",3889985,96129,3438,2026-03-07T22:00:07Z,https://i.ytimg.com/vi/JHbgA38R1OM/hqdefault.jpg
"Gary Owen",R7bVMWGpKOI,"Gary Owen: Off The Dome Houston | Crowd Work Compilation",2479925,33057,1847,2025-05-01T13:00:49Z,https://i.ytimg.com/vi/R7bVMWGpKOI/hqdefault.jpg
"Gaurav Kapoor",g3oNp6KQZJg,"LIE HARD Ep. 2 ft @AnubhavSinghBassi @gauravgupta6685 @ComicKaustubhAgarwal @boi_onkar",3125561,63733,4795,2025-06-06T06:51:02Z,https://i.ytimg.com/vi/g3oNp6KQZJg/hqdefault.jpg
"Gaurav Kapoor",EJzZ3ftkyt0,"LIE HARD Ep. 5 ft @AakashGupta @KennySebastian @TheRahulDua @ShreejaChaturvedi",2594038,53817,6270,2025-07-25T03:07:18Z,https://i.ytimg.com/vi/EJzZ3ftkyt0/hqdefault.jpg
"Gianmarco Soresi",sB9eWtzTOq0,"Gianmarco Soresi: Thief of Joy | Full Comedy Special",5278565,231650,3980,2025-09-19T23:00:07Z,https://i.ytimg.com/vi/sB9eWtzTOq0/hqdefault.jpg
"Gilly and Keeves",zKUpf1Vx0vs,"Shane Gillis Live In Austin | Stand Up Comedy",56324138,681813,2885,2021-09-07T14:00:22Z,https://i.ytimg.com/vi/zKUpf1Vx0vs/hqdefault.jpg
"Great Indian Comedy Central",1eHxYhQmjDI,"Comedy और Shayari की Class एक साथ.| Zakir Khan | Kapil Sharma | Best of The Kapil Sharma Show.",10703204,61594,2323,2025-03-31T11:30:02Z,https://i.ytimg.com/vi/1eHxYhQmjDI/hqdefault.jpg
"Great Indian Comedy Central",QngJL3TlUh4,"No Bakwas Only Full on Comedy.| ZAKIR KHAN | BHUVAN BAM | ANUBHAV SINGH BASSI | HARSH GUJRAL | TKSS.",7758383,62471,2548,2025-06-11T11:45:04Z,https://i.ytimg.com/vi/QngJL3TlUh4/hqdefault.jpg
"Great Indian Comedy Central",PFuZT7sWAcc,"Rahat Indori और Zakir Khan की Comedy और Shayari एक साथ.| THE KAPIL SHARMA SHOW.",2147419,15900,1965,2025-07-09T12:00:51Z,https://i.ytimg.com/vi/PFuZT7sWAcc/hqdefault.jpg
"Gursimran Khamba",x5cWXEsSsD0,"Nation Wants To Guess with Khamba | EP7 ft @AnubhavSinghBassi @AakashGupta @ShreejaChaturvedi",4581873,98389,4449,2026-02-08T06:30:06Z,https://i.ytimg.com/vi/x5cWXEsSsD0/hqdefault.jpg
"Harsh gujral",FtDv-L1stdo,"Akshay Kumar x Harsh Gujral | Roast Standup Comedy",23846028,599504,1232,2024-08-17T14:23:34Z,https://i.ytimg.com/vi/FtDv-L1stdo/hqdefault.jpg
"Harsh gujral",MwsHgn_jdIY,"22 Boyfriends | Crowd Work | Stand Up Comedy | Ft @Harshgujral",11427864,246304,1227,2025-04-30T12:04:05Z,https://i.ytimg.com/vi/MwsHgn_jdIY/hqdefault.jpg
"Harsh gujral",4Z-KLkjICoY,"Desi Boyfriend - A Standup Comedy Special By Harsh Gujral",7828172,180660,2736,2026-02-06T12:00:06Z,https://i.ytimg.com/vi/4Z-KLkjICoY/hqdefault.jpg
"Haseeb Khan",_97GyWAiJPk,"Haseeb Khan | FLAMES | ""STANDUP COMEDY SPECIAL""",5358519,165802,3332,2025-08-14T10:30:22Z,https://i.ytimg.com/vi/_97GyWAiJPk/hqdefault.jpg
"Inder Sahani",F8mX7rh3Kq0,"Types Of Travellers Standup Comedy By Inder Sahani",2123693,52923,2372,2025-02-17T13:45:01Z,https://i.ytimg.com/vi/F8mX7rh3Kq0/hqdefault.jpg
"Inder Sahani",5j18OH3b6wI,"Sorry Papa | Standup Comedy Special By Inder Sahani",1947121,65009,4994,2026-06-12T12:45:31Z,https://i.ytimg.com/vi/5j18OH3b6wI/hqdefault.jpg
"Inder Sahani",WduM5-nT200,"Tapu Sena Babur aur Aananya | Standup comedy By Inder Sahani",1748491,36619,2305,2026-05-06T13:45:22Z,https://i.ytimg.com/vi/WduM5-nT200/hqdefault.jpg
